dim_a,dim_b,flow1,flow2,freq
57,59,10,100,516.1290
95,98,10,10,161.2903
59,60,10,110,691.2442
57,57,10,120,774.1935
79,77,10,20,211.9816
71,76,10,30,267.2811
64,67,10,60,350.2304
63,61,10,70,427.6498
61,63,10,80,442.3963
60,58,10,90,471.8894
59,58,20,100,898.6175
101,104,20,10,184.3318
59,61,20,110,921.6590
58,57,20,120,1069.1
88,89,20,15,258.0645
90,92,20,20,331.7972
80,81,20,30,405.5300
73,76,20,40,516.1290
67,68,20,50,619.3548
68,68,20,60,693.0876
66,62,20,90,866.3594
59,62,30,100,1327.2
61,55,30,110,1364.1
64,58,30,120,1364.1
85,88,30,20,442.3963
83,81,30,30,575.1152
76,77,30,40,783.4101
74,74,30,50,852.5346
71,71,30,60,852.5346
69,67,30,70,921.6590
64,66,30,80,1036.9
63,64,30,90,1059.9
69,69,40,100,1327.2
68,67,40,120,1474.7
100,105,40,20,534.5622
85,87,40,30,682.0276
80,81,40,40,847.9263
81,84,40,50,866.3594
75,79,40,60,944.7005
70,71,40,70,990.7834
70,70,40,80,1129.0
101,102,50,20,599.0783
100,106,50,30,571.4286
86,88,50,40,921.6590
92,94,50,50,700.4608
75,78,50,70,1253.5
74,77,50,80,1290.3
55,58,5,100,184.3318
81,81,5,10,105.9908
60,62,5,110,350.2304
59,59,5,120,718.8940
53,59,5,130,258.0645
75,73,5,15,115.2074
71,72,5,20,133.6406
70,71,5,25,147.4654
69,68,5,30,170.5069
63,65,5,35,193.5484
65,62,5,40,202.7650
60,62,5,45,221.1982
61,64,5,50,267.2811
61,57,5,55,221.1982
100,99,5,5,71.4286
61,62,5,60,161.2903
61,64,5,65,184.3318
60,63,5,70,147.4654
61,60,5,75,132.7189
59,60,5,80,265.4378
60,60,5,85,280.1843
58,61,5,90,276.4977
60,58,5,95,165.8986
92,94,60,30,811.0599
91,95,60,40,847.9263
88,87,60,50,1069.1
77,82,60,60,1161.3
76,78,70,20,1511.5
177,574,70,40,82.9493
85,87,70,60,1179.7
82,82,70,70,1437.8
85,90,80,60,1437.8
